"reference","start","end","identity"
"ref2","918","965","100"
"ref4","9750","9817","97"
"ref2","1390","1542","91"
"ref4","1650","1806","92"
"ref5","6442","6567","87"
"ref1","4409","4618","87"
"ref1","8825","9005","85"
"ref2","9034","9285","86"
"ref5","4981","5115","94"
"ref3","4564","4761","88"
"ref4","8456","8558","91"
"ref5","6139","6221","80"
"ref3","5913","6179","99"
"ref3","8495","8592","84"
"ref4","6056","6142","85"
"ref2","7239","7484","98"
"ref2","2168","2266","87"
"ref4","6886","7171","87"
"ref1","8573","9011","86"
"ref5","5792","5835","96"
"ref1","8658","8695","87"
"ref2","1901","2900","83"
"ref3","1252","1504","87"
"ref1","8995","9021","80"
"ref4","260","465","83"
"ref2","9479","9672","90"
"ref4","483","876","89"
"ref3","2378","2460","90"
"ref1","6052","6076","96"
"ref1","621","813","92"
"ref2","1757","1800","96"
"ref5","6506","6564","89"
"ref1","1430","1756","86"
"ref4","273","323","99"
"ref3","1717","1737","83"
"ref1","4081","4095","100"
"ref5","4097","4143","91"
"ref5","8509","8549","96"
"ref3","9369","9452","90"
"ref5","2181","2597","87"
"ref2","9339","9351","82"
"ref1","6571","7383","82"
"ref4","346","694","89"
"ref5","4086","4137","88"
"ref2","7902","8188","91"
"ref5","390","513","94"
"ref1","5522","5532","87"
"ref1","2822","2841","93"
"ref3","5468","5859","94"
"ref3","9625","9767","85"
"ref1","7163","7218","98"
"ref4","9462","9486","97"
"ref4","8506","8632","99"
"ref5","1166","1184","94"
"ref1","3902","3944","88"
"ref5","8095","8674","98"
"ref1","7066","7192","98"
"ref2","1367","1536","98"
"ref4","921","1030","81"
"ref4","186","222","90"
"ref1","6201","6436","91"
"ref2","5783","6169","82"
"ref1","2615","2876","82"
"ref5","8643","8684","84"
"ref5","7954","7963","97"
"ref5","5446","5634","95"
"ref1","5054","5095","96"
"ref4","2095","2115","80"
"ref1","2904","3317","89"
"ref5","5980","6041","87"
"ref3","2325","2412","88"
"ref2","7625","7637","85"
"ref4","3777","3840","80"
"ref3","3336","3396","100"
"ref4","7948","8051","87"
"ref1","2954","3229","98"
"ref3","6700","6748","93"
"ref4","9720","9750","88"
"ref2","7400","7460","100"
"ref2","2963","3245","81"
"ref1","6374","7095","93"
"ref5","5789","5824","96"
"ref3","4880","4902","85"
"ref5","7895","7962","84"
"ref3","800","1094","91"
"ref4","8686","8882","90"
"ref5","536","620","93"
"ref4","2951","2964","87"
"ref2","9613","9722","84"
"ref2","4583","4594","83"
"ref5","7460","7722","100"
"ref3","5272","5292","84"
"ref4","782","929","93"
"ref2","7236","7410","88"
"ref2","7480","7666","95"
"ref5","6192","6304","98"
"ref4","6140","6784","81"
"ref4","5586","5590","80"
"ref3","2957","3311","96"
"ref2","2609","2723","88"
"ref3","3355","3521","88"
"ref1","8427","8771","92"
"ref4","6380","6440","99"
"ref2","7212","7645","97"
"ref5","6036","6809","91"
"ref3","8570","8676","89"
"ref3","292","313","87"
"ref1","3714","3826","96"
"ref5","9888","9932","99"
"ref1","9666","9732","100"
"ref2","2508","2645","97"
"ref4","6661","6876","91"
"ref4","6249","6325","86"
"ref2","767","1005","92"
"ref1","3984","4193","84"
"ref3","3663","3842","84"
"ref4","6352","6378","83"
"ref4","8557","8790","85"
"ref3","7736","7905","90"
"ref4","2808","2961","87"
"ref1","238","493","94"
"ref4","4027","4195","95"
"ref4","4324","4488","80"
"ref2","18","75","93"
"ref3","926","992","81"
"ref2","1800","1992","94"
"ref5","5191","5310","83"
"ref4","5381","5856","85"
"ref5","1185","1336","92"
"ref2","6917","7237","82"
"ref5","853","1083","96"
"ref5","2991","3087","99"
"ref2","1909","1955","93"
"ref1","4830","4992","100"
"ref3","2951","3323","100"
"ref1","7139","7299","95"
"ref5","6476","6564","96"
"ref5","4618","5279","86"
"ref3","3188","3275","87"
"ref5","7430","7527","83"
"ref5","2758","2781","96"
"ref5","9185","9295","90"
"ref2","5699","5795","92"
"ref1","9257","9489","87"
"ref2","5934","5971","92"
"ref4","1950","2122","96"
"ref1","9766","9860","88"
"ref5","2196","2335","92"
"ref3","8502","8596","94"
"ref2","3839","3990","82"
"ref3","1333","1776","82"
"ref3","5813","5828","94"
"ref3","8465","8489","88"
"ref5","8925","9141","84"
"ref3","7693","8017","93"
"ref1","8574","8675","98"
"ref4","8817","9052","84"
"ref5","727","810","95"
"ref4","3663","3908","90"
"ref4","5009","5038","98"
"ref2","7010","7099","87"
"ref4","5017","5077","89"
"ref4","5503","5555","91"
"ref4","289","485","90"
"ref4","2380","2450","89"
"ref2","411","420","88"
"ref1","7521","7861","97"
"ref3","1475","1492","93"
"ref3","874","899","85"
"ref1","4612","4846","91"
"ref4","6338","6424","94"
"ref2","3349","3444","95"
"ref2","2354","2515","99"
"ref1","6889","6919","92"
"ref3","1207","1280","92"
"ref3","2357","2402","89"
"ref2","9536","9627","94"
"ref3","2968","3068","95"
"ref4","7688","7711","97"
"ref1","4934","5122","97"
"ref2","2238","2536","88"
"ref3","1559","1602","98"
"ref3","5940","6179","84"
"ref1","9105","9360","87"
"ref3","8400","8487","84"
"ref1","2651","2857","88"
"ref4","154","222","87"
"ref5","6993","7701","80"
"ref5","972","1098","88"
"ref3","2231","2297","90"
"ref4","523","785","94"
"ref2","7893","8084","86"
"ref3","8712","8866","88"
"ref2","6064","6411","81"
"ref3","1136","1201","92"
"ref5","1811","1980","93"
"ref5","6311","6485","84"
"ref4","9298","9612","97"
"ref3","249","413","80"
"ref4","4646","4745","81"
"ref3","9285","9314","88"
"ref4","331","1330","97"
"ref5","3541","4079","85"
"ref3","8496","8532","87"
"ref1","3685","3737","97"
"ref5","4944","5024","96"
"ref3","4578","4629","99"
"ref2","5493","5535","94"
"ref2","5085","5124","96"
"ref4","1186","1200","85"
"ref4","1896","2545","96"
"ref2","8918","8939","96"
"ref1","753","870","81"
"ref3","126","427","83"
"ref5","9782","9917","80"
"ref5","1077","1135","96"
"ref4","162","268","84"
"ref4","7350","7424","91"
"ref1","6501","6563","80"
"ref2","3816","3853","100"
"ref3","5062","5096","92"
"ref3","7966","7990","96"
"ref2","8411","8804","92"
"ref5","4682","4800","85"
"ref1","130","142","92"
"ref2","2307","2387","100"
"ref3","7285","7359","93"
"ref5","9079","9104","93"
"ref2","1675","1710","89"
"ref5","1345","1650","88"
"ref2","5454","5615","93"
"ref2","3919","4008","95"
"ref3","1376","1393","80"
"ref5","9572","9628","81"
"ref4","1100","1295","82"
"ref5","4797","4941","92"
"ref3","3395","3535","92"
"ref4","9457","9741","97"
"ref1","7375","7597","89"
"ref3","6633","6693","92"
"ref5","928","950","93"
"ref2","8233","8834","98"
"ref3","2442","2875","93"
"ref3","7423","7503","100"
"ref1","3857","3983","91"
"ref4","3343","3553","81"
"ref5","1835","2691","98"
"ref5","2045","2089","91"
"ref5","2837","2995","97"
"ref4","6564","6839","84"
"ref5","5505","5531","95"
"ref5","4945","5015","83"
"ref5","6567","7008","98"
"ref3","2973","3056","92"
"ref5","5446","5699","92"
"ref2","2021","2070","88"
"ref5","3391","3562","93"
"ref1","3437","3517","94"
"ref2","6276","6327","93"
"ref2","8241","8390","97"
"ref4","4753","4798","89"
"ref2","8916","8979","100"
"ref3","2477","2547","93"
"ref1","7599","7685","84"
"ref1","3573","3592","92"
"ref5","2587","2842","84"
"ref2","712","891","84"
"ref3","2603","2741","88"
"ref1","6001","6157","92"
"ref5","6051","6203","97"
"ref2","4240","4263","88"
"ref4","5419","5448","87"
"ref3","8362","8507","84"
"ref3","7830","7903","89"
"ref5","4249","4436","97"
"ref5","6910","7080","99"
"ref1","1948","2180","94"
"ref3","4910","5126","90"
"ref5","5798","5844","90"
"ref4","6135","6195","98"
"ref1","1932","2087","88"
"ref1","8391","8516","92"
"ref5","3613","3789","94"
"ref3","7710","7805","84"
"ref5","7657","7819","86"
"ref4","8531","8630","88"
"ref2","1000","1354","84"
"ref5","5548","5683","99"
"ref5","2117","2185","89"
"ref3","5238","5276","93"
"ref2","8888","8984","88"
"ref2","9255","9270","83"
"ref3","8179","8803","92"
"ref5","2218","2244","88"
"ref3","8332","8420","91"
"ref4","2525","2596","100"
"ref3","7619","7990","90"
"ref4","7129","7791","83"
"ref5","4918","5573","98"
"ref4","6916","6935","92"
"ref4","4806","4843","89"
"ref1","7413","7632","82"
"ref5","6955","6987","86"
"ref2","776","804","93"
"ref2","3768","4134","91"
"ref1","6115","6265","80"
"ref3","9142","9172","98"
"ref3","6035","6062","94"
"ref3","2816","2936","96"
"ref1","7761","7960","80"
"ref2","7830","8033","85"
"ref3","5618","5625","97"
"ref2","6300","6398","93"
"ref4","2224","2533","81"
"ref5","2889","2916","83"
"ref3","4725","4853","93"
"ref1","1183","1361","91"
"ref4","2609","2681","91"
"ref4","3829","4091","97"
"ref3","1457","1481","100"
"ref3","614","827","94"
"ref3","2222","2293","100"
"ref2","81","301","99"
"ref1","2811","2895","93"
"ref3","6923","7007","94"
"ref5","6843","7193","94"
"ref4","8707","9042","93"
"ref2","2522","2622","81"
"ref3","3643","3688","99"
"ref2","9765","9894","93"
"ref2","5475","5693","97"
"ref5","1797","1848","90"
"ref4","5933","5973","81"
"ref3","9372","9437","93"
"ref5","6297","6410","95"
"ref5","170","259","83"
"ref1","3469","3798","87"
"ref4","6329","6359","86"
"ref4","2396","2484","84"
"ref2","5355","5418","86"
"ref1","9395","9477","91"
"ref4","6647","6840","100"
"ref1","1495","1504","97"
"ref2","859","883","80"
"ref3","9271","9311","99"
"ref1","4573","4819","100"
"ref3","8918","9143","84"
"ref1","4435","4487","92"
"ref1","5714","5746","92"
"ref3","9774","9824","90"
"ref5","6466","6572","93"
"ref2","4752","4791","80"
"ref1","7749","7792","87"
"ref4","5782","5810","92"
"ref2","6944","6983","98"
"ref4","8225","8274","97"
"ref4","9325","9540","94"
"ref5","4100","4213","80"
"ref2","5321","5424","89"
"ref1","5847","5943","90"
"ref3","6998","7082","86"
"ref2","9000","9130","82"
"ref5","1511","1646","83"
"ref3","6227","6290","89"
"ref2","8849","8863","92"
"ref2","8755","8913","83"
"ref4","838","925","81"
"ref3","5747","5906","89"
"ref1","3408","3439","88"
"ref3","8321","8380","92"
"ref3","3646","3873","90"
"ref1","235","608","94"
"ref1","3630","3788","82"
"ref1","7286","7591","87"
"ref4","5394","5537","97"
"ref3","3514","3546","81"
"ref5","302","962","83"
"ref2","2133","2253","96"
"ref4","7413","7468","93"
"ref5","1716","1834","84"
"ref2","233","243","87"
"ref5","5502","5606","93"
"ref1","337","382","86"
"ref3","438","527","97"
"ref2","3870","3982","96"
"ref4","3635","4100","94"
"ref5","3917","3989","98"
"ref4","8524","8556","80"
"ref5","6719","6919","80"
"ref4","3977","4076","82"
"ref2","4966","5037","92"
"ref4","5471","5602","91"
"ref1","2338","2390","91"
"ref4","44","140","85"
"ref5","2088","2239","96"
"ref2","6919","6990","100"
"ref2","7954","8370","97"
"ref4","1285","2284","84"
"ref1","9054","9282","91"
"ref3","55","202","81"
"ref2","685","789","96"
"ref1","1530","1628","97"
"ref2","1124","1148","85"
"ref5","1456","1528","95"
"ref3","9581","9845","98"
"ref2","908","943","99"
"ref3","1471","1537","99"
"ref1","6723","6785","84"
"ref4","4524","4836","92"
"ref5","3627","3709","93"
"ref4","3597","4596","100"
"ref2","835","961","89"
"ref1","6212","6262","99"
"ref1","5736","5807","81"
"ref3","5542","5669","94"
"ref1","2698","3223","88"
"ref2","5050","5138","96"
"ref3","5478","5588","88"
"ref4","5168","5213","89"
"ref1","1315","1354","98"
"ref3","2137","2321","82"
"ref2","8836","9004","86"
"ref1","1893","2161","88"
"ref2","7924","8034","81"
"ref2","2576","2613","96"
"ref5","1943","1966","86"
"ref2","522","748","100"
"ref1","7348","7460","96"
"ref5","4505","4572","98"
"ref3","7536","7554","91"
"ref2","1915","2159","86"
"ref5","5036","5203","94"
"ref1","9775","9912","85"
"ref3","6111","6127","84"
"ref2","6578","6625","98"
"ref2","6767","6865","90"
"ref2","9227","9289","81"
"ref1","3121","3224","96"
"ref2","1891","1905","98"
"ref5","666","871","99"
"ref2","2018","2109","96"
"ref3","6688","6747","83"
"ref4","831","966","97"
"ref2","818","845","91"
"ref3","7445","7826","80"
"ref3","2183","2244","92"
"ref3","7635","7870","82"
"ref5","8359","8409","97"
"ref5","9304","9572","99"
"ref4","4768","4915","92"
"ref3","4550","4634","80"
"ref2","1388","1495","98"
"ref4","3278","3403","91"
"ref5","1541","1595","88"
"ref3","2413","2810","97"
"ref1","3185","3291","97"
"ref2","7631","7702","98"
"ref4","4875","4890","92"
"ref3","3892","4682","96"
"ref2","236","287","86"
"ref5","2588","2710","91"
"ref2","4839","4894","99"
"ref5","9694","9882","85"
"ref3","7465","7560","95"
"ref5","9523","9527","80"
"ref3","8801","8845","96"
"ref2","3107","3444","96"
"ref3","6173","6190","84"
"ref1","5862","5963","96"
"ref3","6675","6728","81"
"ref5","8003","8165","84"
"ref4","2023","2335","88"
"ref5","7514","7576","96"
"ref4","8224","8462","80"
"ref3","4621","4840","94"
"ref2","3155","3312","84"
"ref5","8644","8656","92"
"ref1","9897","9966","90"
"ref1","5410","5428","80"
"ref3","8388","8774","80"
"ref1","2931","3217","80"
"ref5","8127","8197","88"
"ref5","9314","9318","99"
"ref5","8155","8176","82"
"ref3","399","591","81"
"ref4","6724","7023","97"
"ref4","8119","9118","80"
"ref4","3567","3688","85"
"ref5","945","959","87"
"ref3","5536","5633","97"
"ref2","1595","1683","90"
"ref1","6066","6168","90"
"ref3","143","587","84"
"ref1","5508","5970","85"
"ref5","5465","5479","96"
"ref4","9545","9674","99"
"ref5","717","795","95"
"ref1","1183","1376","80"
"ref2","6036","6098","100"
"ref3","3744","4513","91"
"ref5","4204","4263","80"
"ref5","8679","8740","95"
"ref4","4213","4470","91"
"ref3","5457","5741","85"
"ref2","5529","5661","99"
"ref4","761","802","80"
"ref2","6944","7101","80"
"ref5","4332","4432","97"
"ref4","1981","2138","88"
"ref5","231","253","81"
"ref5","3955","4056","100"
"ref1","7066","7193","95"
"ref2","6841","6844","93"
"ref4","3821","3846","96"
"ref5","218","275","97"
"ref1","4205","4223","89"
"ref3","6196","6353","88"
"ref2","8287","8890","91"
"ref4","7181","7853","98"
"ref5","761","781","88"
"ref4","3124","3423","91"
"ref3","3768","3772","82"
"ref3","2571","2673","86"
"ref5","5004","5079","90"
"ref5","3367","3415","83"
"ref2","6279","6320","83"
"ref3","4852","5236","99"
"ref2","824","845","87"
"ref2","8347","8470","86"
"ref5","5430","5548","98"
"ref1","7314","7382","85"
"ref1","3329","3436","81"
"ref5","3641","3747","90"
"ref4","6946","7171","84"
"ref5","5831","6116","100"
"ref3","3232","3297","96"
"ref2","3471","4027","83"
"ref4","2212","2562","89"
"ref1","1161","1442","92"
"ref1","8575","8643","93"
"ref1","5303","5400","83"
"ref2","9333","9434","83"
"ref5","9509","9563","94"
"ref3","5942","5957","95"
"ref2","1591","1604","94"
"ref5","9588","9778","85"
"ref4","7184","7209","80"
"ref4","7132","7585","95"
"ref5","2707","2799","81"
"ref4","3994","4146","88"
"ref2","8323","8373","92"
"ref2","3965","4524","99"
"ref1","8567","8703","88"
"ref2","4126","4227","88"
"ref2","1074","1280","83"
"ref2","1277","1315","96"
"ref4","4657","4704","80"
"ref3","6221","6768","84"
"ref4","1634","1709","87"
"ref1","3318","3357","84"
"ref3","8621","8643","84"
"ref2","5256","5409","94"
"ref3","2425","2558","100"
"ref3","4970","5084","94"
"ref4","5449","5653","96"
"ref5","6743","6787","86"
"ref1","6094","6153","93"
"ref4","4513","4589","97"
"ref4","1353","1568","86"
"ref5","2534","2599","100"
"ref3","5350","5841","89"
"ref2","499","717","89"
"ref2","6139","6213","100"
"ref4","1375","1485","86"
"ref2","9237","9295","88"
"ref1","7820","7904","97"
"ref2","6421","6450","83"
"ref4","3803","4558","97"
"ref4","2957","3002","100"
"ref1","9006","9082","90"
"ref5","3727","3790","86"
"ref1","1577","1636","83"
"ref4","7877","7967","86"
"ref5","2391","2446","86"
"ref1","7454","7583","90"
"ref3","3648","3799","90"
"ref3","6196","6240","91"
"ref3","5014","5273","88"
"ref4","1991","2386","88"
"ref4","6804","6945","90"
"ref4","5048","5115","86"
"ref2","1109","1138","84"
"ref3","7192","7226","92"
"ref1","7170","7681","90"
"ref4","5665","5810","96"
"ref5","8062","8107","84"
"ref2","1932","1968","95"
"ref4","6051","6087","95"
"ref3","8049","8082","91"
"ref3","4012","4071","82"
"ref1","5348","5465","89"
"ref2","2735","3529","95"
"ref4","7485","7607","98"
"ref1","5420","5524","87"
"ref4","244","401","87"
"ref2","4938","5103","85"
"ref4","5227","5861","100"
"ref4","2589","2843","95"
"ref4","4568","4747","96"
"ref4","213","294","86"
"ref5","1690","1788","95"
"ref4","2324","2424","92"
"ref5","3895","4072","89"
"ref1","8111","8148","80"
"ref5","2574","2617","88"
"ref3","4701","4767","90"
"ref3","2394","2700","94"
"ref1","9583","9621","91"
"ref1","6826","6965","83"
"ref4","6544","7543","94"
"ref2","2357","2787","83"
"ref4","2799","2976","93"
"ref2","5624","6060","96"
"ref3","7020","7115","87"
"ref2","2568","2603","94"
"ref1","2217","2270","89"
"ref3","2100","2436","85"
"ref3","654","774","93"
"ref2","8398","8481","80"
"ref3","4290","4409","81"
"ref4","6300","6345","96"
"ref1","8464","9020","81"
"ref2","2814","3813","86"
"ref5","1559","1903","89"
"ref1","3061","3115","99"
"ref5","4665","4841","100"
"ref5","5678","5724","94"
"ref1","3674","3699","87"
"ref2","7861","8072","94"
"ref4","3818","3861","88"
"ref1","9118","9137","95"
"ref1","2988","3166","93"
"ref4","54","153","84"
"ref1","1192","1313","92"
"ref2","434","886","80"
"ref2","5810","5923","86"
"ref1","7662","7684","89"
"ref5","6916","6957","83"
"ref1","3136","3192","82"
"ref3","2525","2560","91"
"ref3","2658","2963","94"
"ref4","5100","5147","83"
"ref1","9079","9196","95"
"ref1","9846","9979","86"
"ref2","6248","6401","97"
"ref3","9359","9392","89"
"ref5","670","752","88"
"ref1","6139","6433","98"
"ref3","8403","8533","100"
"ref5","306","533","83"
"ref1","2482","2676","83"
"ref5","8206","8475","81"
"ref4","5621","5658","88"
"ref3","1950","2061","95"
"ref3","163","388","83"
"ref3","720","796","93"
"ref2","5488","5511","80"
"ref4","9077","9200","87"
"ref5","2902","2913","96"
"ref5","2687","2875","84"
"ref4","3572","3904","93"
"ref4","5844","6045","95"
"ref3","3612","3718","80"
"ref4","9382","9522","82"
"ref1","6014","6059","84"
"ref3","4036","4245","86"
"ref4","3850","3874","95"
"ref3","2625","2853","97"
"ref4","4157","4353","91"
"ref5","5758","5769","94"
"ref2","1372","1755","90"
"ref4","3195","3235","92"
"ref1","7303","7950","90"
"ref4","7579","7772","99"
"ref5","8574","8598","95"
"ref3","6849","6977","81"
"ref1","5281","5317","85"
"ref2","4635","4855","81"
"ref2","4334","4362","96"
"ref1","5642","5667","81"
"ref4","6348","6684","80"
"ref4","2240","2346","91"
"ref4","7174","7380","87"
"ref1","1092","1182","85"
"ref1","7366","7557","91"
"ref5","1550","1674","82"
"ref5","283","1282","81"
"ref3","6508","6553","92"
"ref1","3166","3337","86"
"ref5","2183","2490","85"
"ref2","2114","2213","94"
"ref4","6004","6104","81"
"ref2","7553","7602","82"
"ref1","4299","4419","80"
"ref2","3333","3525","88"
"ref1","1588","1739","100"
"ref2","5640","5669","83"
"ref5","8498","8630","99"
"ref5","4852","5002","84"
"ref2","4469","4688","87"
"ref5","2238","2259","86"
"ref3","9828","9845","91"
"ref1","52","130","97"
"ref3","2612","2941","90"
"ref5","5065","5121","88"
"ref3","4181","4442","88"
"ref5","111","144","86"
"ref5","5291","5336","88"
"ref2","7871","8345","98"
"ref3","3837","3955","81"
"ref2","6606","6634","100"
"ref3","7520","7798","86"
"ref4","2444","2729","89"
"ref5","1113","1374","90"
"ref2","1478","2095","100"
"ref5","2198","2364","99"
"ref3","5947","5982","99"
"ref4","2924","3280","97"
"ref4","5180","5216","97"
"ref1","5959","6119","96"
"ref1","1206","1547","83"
"ref1","2315","2571","83"
"ref3","2393","2442","98"
"ref1","5372","5543","97"
"ref2","9492","9630","81"
"ref5","9620","9657","88"
"ref4","6851","7229","94"
"ref2","1452","1543","80"
"ref1","178","437","93"
"ref3","9194","9296","98"
"ref3","7901","8244","93"
"ref1","5167","5240","91"
"ref1","905","1008","81"
"ref4","7141","7251","87"
"ref4","8160","8278","88"
"ref5","3024","3310","81"
"ref4","3897","4003","94"
"ref1","5345","5389","85"
"ref1","4355","4454","85"
"ref2","5550","5597","88"
"ref2","2368","3367","91"
"ref4","4399","4452","85"
"ref4","1005","1110","90"
"ref1","3353","3495","96"
"ref2","9419","9509","92"
"ref1","5134","5203","93"
"ref3","6470","6595","81"
"ref1","8622","8708","83"
"ref5","408","502","87"
"ref4","8063","8248","84"
"ref3","7647","8646","90"
"ref2","2446","2573","98"
"ref2","3283","4282","82"
"ref5","8185","8224","96"
"ref5","1460","1505","87"
"ref1","9099","9160","91"
"ref1","1406","1503","89"
"ref5","6856","7855","96"
"ref1","5420","5467","82"
"ref2","7839","8038","81"
"ref4","4219","4230","91"
"ref5","7945","8187","82"
"ref4","4319","4471","100"
"ref3","1","63","94"
"ref4","1356","1380","80"
"ref4","5121","5494","86"
"ref1","8026","8147","91"
"ref5","2075","2214","96"
"ref4","4290","4410","92"
"ref1","3922","4101","90"
"ref1","5549","5716","98"
"ref4","8425","8496","80"
"ref3","5482","5651","86"
"ref1","253","278","82"
"ref2","8782","8809","98"
"ref3","6920","6947","94"
"ref4","8185","8286","94"
"ref2","2468","2511","86"
"ref2","3769","4768","99"
"ref5","5466","5646","89"
"ref4","663","704","90"
"ref2","5801","6041","86"
"ref3","3479","3535","81"
"ref2","8549","8654","94"
"ref5","3297","3494","92"
"ref2","2473","2550","93"
"ref2","3924","4005","92"
"ref1","3369","3412","84"
"ref5","3086","3173","95"
"ref4","6844","7143","86"
"ref1","7271","7477","92"
"ref1","8149","8274","100"
"ref5","9376","9641","87"
"ref2","6865","6934","87"
"ref2","1819","1844","91"
"ref3","5796","5846","95"
"ref2","1027","1082","83"
"ref2","7695","7752","85"
"ref4","3902","3934","93"
"ref1","5506","5770","90"
"ref2","3305","3551","100"
"ref5","4392","4568","85"
"ref4","5076","5357","95"
"ref3","5153","5181","84"
"ref5","5120","5391","85"
"ref3","5021","6020","95"
"ref1","4951","5377","81"
"ref1","5405","5475","81"
"ref4","5190","5430","99"
"ref2","2724","2911","84"
"ref2","382","411","86"
"ref5","817","825","83"
"ref1","4277","4313","98"
"ref5","5076","5324","84"
"ref2","3812","3826","84"
"ref1","3203","4202","91"
"ref5","682","1088","100"
"ref3","7440","7548","90"
"ref5","9606","9644","94"
"ref2","3970","4124","87"
"ref5","8919","8972","81"
"ref3","3322","3562","94"
"ref4","9187","9309","94"
"ref2","4936","5011","94"
"ref1","5058","5561","91"
"ref1","317","379","87"
"ref4","42","200","94"
"ref5","8709","8740","97"
"ref2","7332","7456","92"
"ref2","2314","2392","95"
"ref4","1489","1574","88"
"ref2","6014","6483","82"
"ref1","3175","3242","100"
"ref4","7461","7530","92"
"ref2","189","234","80"
"ref1","1915","2472","87"
"ref3","4758","4840","95"
"ref3","7394","7461","88"
"ref4","5779","5999","86"
"ref5","3137","3945","91"
"ref4","7941","8206","82"
"ref4","3690","3981","81"
"ref4","3055","3148","94"
"ref1","9000","9214","98"
"ref5","8771","8835","87"
"ref3","5715","5726","80"
"ref1","6950","7059","90"
"ref1","1476","1483","91"
"ref3","7201","7494","92"
"ref5","4296","4939","81"
"ref1","6139","6153","84"
"ref4","2246","2269","83"
"ref2","2428","2626","92"
"ref3","1780","1826","95"
"ref5","3530","3700","91"
"ref1","1383","1497","95"
"ref5","3194","3374","94"
"ref4","2430","3191","94"
"ref3","8804","8989","82"
"ref3","266","480","88"
"ref1","2021","2123","82"
"ref4","1213","1277","85"
"ref5","2547","2721","90"
"ref3","2791","2817","95"
"ref1","8279","8285","89"
"ref2","3856","3877","83"
"ref4","498","584","91"
"ref2","644","1239","82"
"ref2","4652","4730","80"
"ref1","4128","4194","87"
"ref5","8197","8289","87"
"ref3","3011","3712","80"
"ref4","873","1002","97"
"ref5","5579","5626","80"
"ref2","3665","3689","94"
"ref3","7197","7245","90"
"ref3","8301","8609","80"
"ref5","5699","5982","94"
"ref3","9051","9622","82"
"ref4","138","183","100"
"ref1","2651","2806","97"
"ref5","1317","1620","88"
"ref5","5439","5548","81"
"ref2","4505","4868","93"
"ref3","6212","6294","87"
"ref3","388","773","99"
"ref3","5435","5541","85"
"ref1","1326","1589","92"
"ref1","8588","8688","87"
"ref2","1900","2006","98"
"ref1","4271","4345","89"
"ref5","4045","4057","91"
"ref1","8503","8556","82"
"ref5","6939","7150","91"
"ref1","2140","2188","82"
"ref5","3048","3142","85"
"ref1","6901","6989","97"
"ref5","5369","5636","96"
"ref5","826","909","86"
"ref1","6087","6235","99"
"ref2","5949","6007","97"
"ref2","4969","5015","100"
"ref2","2479","2601","97"
"ref5","7354","7451","99"
"ref1","3332","3414","89"
"ref5","9511","9516","99"
"ref1","6041","6459","86"
"ref3","1699","1865","85"
"ref2","5975","6094","96"
"ref3","753","769","94"
"ref5","1093","1214","83"
"ref2","1109","1544","97"
"ref3","4078","4238","84"
"ref2","6848","6919","86"
"ref4","4051","4527","85"
"ref3","7690","8118","94"
"ref1","1408","1590","97"
"ref4","453","564","91"
"ref2","5387","5549","89"
"ref5","5965","6002","80"
"ref1","1962","2028","86"
"ref5","4852","4927","89"
"ref4","2415","2456","93"
"ref4","4185","4777","81"
"ref2","5642","5834","96"
"ref1","8228","8441","89"
"ref4","8087","8262","93"
"ref3","5683","5785","82"
"ref1","9377","9413","98"
"ref5","7724","7825","82"
"ref5","3239","3318","90"
"ref3","2178","2198","82"
"ref2","1240","1711","91"
"ref4","1016","1162","89"
"ref4","3532","3550","90"
"ref1","9780","9921","96"
"ref3","1331","1444","91"
"ref2","4754","4929","87"
"ref1","1499","1549","96"
"ref5","4056","4112","99"
"ref3","8229","8300","80"
"ref5","5801","5825","100"
"ref5","5057","5081","83"
"ref5","5617","5928","86"
"ref5","7064","7114","89"
"ref2","721","823","89"
"ref3","8573","8668","83"
"ref1","4936","5048","92"
"ref1","7981","8149","98"
"ref3","1675","1908","89"
"ref4","5359","5409","84"
"ref4","3900","4492","92"
"ref5","1285","1353","91"
"ref5","4469","4610","80"
"ref4","3724","3835","94"
"ref1","1401","1479","81"
"ref4","7480","7547","98"
"ref1","2562","2630","94"
"ref5","4304","4320","90"
"ref3","5623","5834","82"
"ref4","6894","7342","92"
"ref5","4929","5075","86"
"ref5","4901","5005","90"
"ref2","9103","9121","80"
"ref2","4873","4916","88"
"ref4","4154","4215","87"
"ref1","7428","7580","98"
"ref2","8178","8237","89"
"ref2","1658","1698","94"
"ref2","8771","8842","90"
"ref1","9384","9418","95"
"ref4","6301","6717","85"
"ref4","4661","4711","84"
"ref4","4808","4843","80"
"ref2","8567","8582","91"
"ref3","8954","9008","93"
"ref1","2656","2933","88"
"ref1","5136","5389","91"
"ref4","3981","4014","92"
"ref3","4808","5710","100"
"ref1","1979","2002","95"
"ref5","5261","5491","84"
"ref1","7707","7927","91"
"ref5","5111","5176","93"
"ref5","1944","1997","98"
"ref3","3011","3149","89"
"ref2","1344","1427","80"
"ref1","2468","2528","85"
"ref3","5741","5825","99"
"ref3","4273","4327","100"
"ref4","1307","1400","80"
"ref4","9121","9362","86"
"ref3","4916","4977","83"
"ref5","7436","7491","99"
"ref5","7968","8026","93"
"ref4","9690","9774","100"
"ref4","9140","9151","95"
"ref2","9906","9946","90"
"ref5","2116","2329","85"
"ref2","3095","3124","83"
"ref2","438","494","85"
"ref4","2877","2966","81"
